year,month,day,wind_installed_capacity,pv_installed_capacity,csp_installed_capacity,other_re_installed_capacity,total_re_installed_capacity,installed_eskom_capacity
2018,4,4,1474.19,300,21.78,3873.69,44546,3430
2018,4,4,1474.19,300,21.78,3873.69,44546,3430
2018,4,4,1474.19,300,21.78,3873.69,44546,3430
2018,4,4,1474.19,300,21.78,3873.69,44546,3446.683
2018,4,5,1474.19,300,21.78,3873.69,44546,3845
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4241
2018,4,5,1474.19,300,21.78,3873.69,44546,4416
2018,4,6,1474.19,300,21.78,3873.69,44546,4445.4
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4500
2018,4,6,1474.19,300,21.78,3873.69,44546,4785.6
2018,4,6,1474.19,300,21.78,3873.69,44546,5275.417
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5635.4
2018,4,7,1474.19,300,21.78,3873.69,44546,5673
2018,4,7,1474.19,300,21.78,3873.69,44546,5684
2018,4,7,1474.19,300,21.78,3873.69,44546,5615
2018,4,7,1474.19,300,21.78,3873.69,44546,5458.333
2018,4,7,1474.19,300,21.78,3873.69,44546,5379.333
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5738.667
2018,4,7,1474.19,300,21.78,3873.69,44546,5484.5
2018,4,7,1474.19,300,21.78,3873.69,44546,5534.5
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5297
2018,4,7,1474.19,300,21.78,3873.69,44546,5822.8
2018,4,7,1474.19,300,21.78,3873.69,44546,6014
2018,4,8,1474.19,300,21.78,3873.69,44546,6132
2018,4,8,1474.19,300,21.78,3873.69,44546,5917.8
2018,4,8,1474.19,300,21.78,3873.69,44546,5775
2018,4,8,1474.19,300,21.78,3873.69,44546,5775
2018,4,8,1474.19,300,21.78,3873.69,44546,5559
2018,4,8,1474.19,300,21.78,3873.69,44546,5415
2018,4,8,1474.19,300,21.78,3873.69,44546,5505.25
2018,4,8,1474.19,300,21.78,3873.69,44546,5510
2018,4,8,1474.19,300,21.78,3873.69,44546,5510
2018,4,8,1474.19,300,21.78,3873.69,44546,5510
2018,4,8,1474.19,300,21.78,3873.69,44546,5419.75
2018,4,8,1474.19,300,21.78,3873.69,44546,5415
2018,4,8,1474.19,300,21.78,3873.69,44546,5415
2018,4,8,1474.19,300,21.78,3873.69,44546,5415
2018,4,8,1474.19,300,21.78,3873.69,44546,5415
2018,4,8,1474.19,300,21.78,3873.69,44546,5415
2018,4,8,1474.19,300,21.78,3873.69,44546,5395.333
2018,4,8,1474.19,300,21.78,3873.69,44546,5297
2018,4,8,1474.19,300,21.78,3873.69,44546,5297
2018,4,8,1474.19,300,21.78,3873.69,44546,5297
2018,4,8,1474.19,300,21.78,3873.69,44546,5297
2018,4,8,1474.19,300,21.78,3873.69,44546,5297
2018,4,8,1474.19,300,21.78,3873.69,44546,5211.95
2018,4,8,1474.19,300,21.78,3873.69,44546,5082
2018,4,9,1474.19,300,21.78,3873.69,44546,5082
